sort,shoulder,url,title,identifier,format,type,relation,source
1,/dc5,https://digitalcollections.frick.org/digico/#/archive/Photoarchive/,Gladys Lloyd Robinson Digital Artist File,"Robinson, Gladys Lloyd (Cassell), 1895/96-1971.",HTML/jpg,image/collection,32/digico/#/archive/Photoarchive/,31
2,/gh4,https://archives.frick.org/repositories/3/archival_objects/158,"Robinson, Gladys Lloyd, 1895-1971, undated",158,HTML,text,35,35/resources/1
3,/fm7,https://research.frick.org/directory/detail/5437,"Robinson, Gladys Lloyd, 1895-1971",5437,HTML,authority,36,34
4,/ab3,https://library.frick.org/permalink/01NYA_INST/cvgb5f/alma991008449649707141,"The Gladys Lloyd Robinson and Edward G. Robinson collection : [catalogue] : an exhibition ... Los Angeles County Museum, September 11 to November 11; California Palace of the Legion of Honor, San Francisco, November 30 to January 13, 1956-1957.",991008449649707141,MARC,text,33/collections#books,33
5,/ab3,https://library.frick.org/permalink/01NYA_INST/cvgb5f/alma991012559229707141,Paintings & drawings.,991012559229707141,MARC,text,33/collections#auction,33
6,/ab3,https://library.frick.org/permalink/01NYA_INST/cvgb5f/alma991012558939707141,"Italian and other primitives, Renaissance & Baroque paintings; Dutch XVII century petits maitres, French & Italian XVIII century works; British paintings.",991012558939707141,MARC,text,33/collections#auction,33
7,/ab3,https://library.frick.org/permalink/01NYA_INST/cvgb5f/alma991008548459707141,"Paintings by Gladys L. Robinson, January, 1948.",991008548459707141,MARC,text,33/collections#books,33
8,/ab3,https://library.frick.org/permalink/01NYA_INST/cvgb5f/alma991009245169707141,"Paintings, Gladys Lloyd Robinson.",991009245169707141,MARC,text,33/collections#books,33
9,/ab3,https://library.frick.org/permalink/01NYA_INST/cvgb5f/alma991004850699707141,Avant-Port de Dieppe.,991004850699707141,MARC,text,23,33/photoarchive
10,/ab3,https://library.frick.org/permalink/01NYA_INST/d73c5u/alma991004852519707141,"La Rue Saint-Honore, Effet de Soleil, Après-Midi.",991004852519707141,MARC,text,23,33/photoarchive
