ark,url,title,type,commitment,identifier,format,relation,source,metadata
ark:/99999/ab3rgxtz1hf3,https://library.frick.org/permalink/01NYA_INST/cvgb5f/alma991004627479707141,Camille Pissarro Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q134741,
ark:/99999/ab3cx17t3gmb,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004627699707141,Edouard Vuillard Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q239394,
ark:/99999/ab3rjm9vssr1,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991002409469707141,Pierre Auguste Renoir Artist File,text,,9.91002E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q39931,
ark:/99999/ab30m3zhfs16,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004314619707141,Vincent Van Gogh Artist File,text,,9.91004E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q5582,
ark:/99999/ab3jznkxrbpm,https://library.frick.org/permalink/01NYA_INST/cvgb5f/alma991004627479707141,Camille Pissarro Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q134741,
ark:/99999/ab33f6wvrxfd,https://library.frick.org/permalink/01NYA_INST/cvgb5f/alma991004627479707141,Camille Pissarro Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q134741,
ark:/99999/ab3k6fjtn8bq,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004627699707141,Edouard Vuillard Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q239394,
ark:/99999/ab3pxdhxjzhq,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991002409469707141,Pierre Auguste Renoir Artist File,text,,9.91002E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q39931,
ark:/99999/ab313j03x3nn,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004314619707141,Vincent Van Gogh Artist File,text,,9.91004E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q5582,
ark:/99999/ab3nbfkppg5b,https://library.frick.org/permalink/01NYA_INST/cvgb5f/alma991004627479707141,Camille Pissarro Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q134741,
ark:/99999/ab32d18cjznr,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004627699707141,Edouard Vuillard Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q239394,
ark:/99999/ab303sr50wwv,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991002409469707141,Pierre Auguste Renoir Artist File,text,,9.91002E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q39931,
ark:/99999/ab3xpxg66mz1,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004314619707141,Vincent Van Gogh Artist File,text,,9.91004E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q5582,
ark:/99999/ab3231r12cn5,https://library.frick.org/permalink/01NYA_INST/cvgb5f/alma991004627479707141,Camille Pissarro Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q134741,
ark:/99999/ab3sj6n0qhsz,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004627699707141,Edouard Vuillard Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q239394,
ark:/99999/ab3bxc8srmp9,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991002409469707141,Pierre Auguste Renoir Artist File,text,,9.91002E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q39931,
ark:/99999/ab378h4xz8gx,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004314619707141,Vincent Van Gogh Artist File,text,,9.91004E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q5582,
ark:/99999/ab3d1x24qf1g,https://library.frick.org/permalink/01NYA_INST/cvgb5f/alma991004627479707141,Camille Pissarro Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q134741,
ark:/99999/ab3sfjtv1nqz,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004627699707141,Edouard Vuillard Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q239394,
ark:/99999/ab32x340tz4h,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991002409469707141,Pierre Auguste Renoir Artist File,text,,9.91002E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q39931,
