s,slabel,subject,plabel,predicate,olabel,object,inverse,altname
,Document,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E31,Is owned by,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#P51,Repository,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E1,TRUE,Owns
,Document,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E31,Documents sale and exhibition of images created by,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#P70>>https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E71>>https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#P92,Person,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E21,TRUE,Has provenance documented by
,Person,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E21,Creates,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#P92,Image,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E71,TRUE,Is created by
,Authority,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E32,Documents,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#P70,Person,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E21,TRUE,Has history documented by
,Image,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E71,Represents,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#P138,Record,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E73,TRUE,Is represented by
,Digital Artist File,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E28,Represents,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#P138,Artist File,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E78,TRUE,Is represented by
,Person,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E21,Owned,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#P51,Image,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E71,TRUE,Was formerly owned by
,Artist File,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E78,Contains images by,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#P138>>https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E28>>https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#P138>>https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E71>>https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#P92,Person,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E21,TRUE,Has artist file
,Artist File,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E78,Is owned by,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#P51,Repository,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E1,TRUE,Owns
,Authority,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E32,Is owned by,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#P51,Repository,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E1,TRUE,Owns
,Record,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E73,Is owned by,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#P51,Repository,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E1,TRUE,Owns
,Artist File,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E78,Is also documented by documents about,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#P70>>https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E31>>https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#P70>>https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E71>>https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#P92,Person,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E21,FALSE,
,Record,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E73,Is documented by,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#P70,Document,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E31,TRUE,Is related to
